,x
15,0.004393131
24,0.006373598
47,0.007409794
53,0.003462024
70,0.015821927
81,0.00425047
82,0.003792498
101,0.006802752
125,0.007644713
134,0.005206828
142,0.007281641
145,0.004831384
153,0.004231553
178,0.003135013
199,0.004871969
234,0.003155443
246,0.003683847
249,0.003019168
252,0.005490062
272,0.003893637
318,0.004552604
362,0.004150602
380,0.004131045
390,0.00713543
394,0.006070231
399,0.003883014
415,0.006199199
434,0.011656546
441,0.00861789
457,0.003681476
463,0.007329319
467,0.006793869
472,0.005118186
505,0.007424214
517,0.006550374
522,0.011394288
534,0.004411016
545,0.003305736
582,0.003851456
587,0.003057087
602,0.00303839
604,0.003235525
634,0.003218114
664,0.003130722
667,0.003455031
668,0.005273868
674,0.005931557
712,0.006234539
719,0.003193581
735,0.005215799
736,0.003654192
738,0.003648632
760,0.003210252
785,0.004740485
788,0.004792549
797,0.020242552
814,0.003698658
836,0.003881752
849,0.008444014
866,0.011465743
867,0.003013719
911,0.005801103
925,0.01439619
946,0.003062397
985,0.093725418
994,0.003111181
